SKU,Photo,Filename,Type,Description,Palette,Tagged Price,Tier,Featured,Notes
BP-N-001,1,PXL_20260704_170050757.jpg,Necklace,Blue ombré-to-white beaded gemstone necklace,blue/white,,Signature,,Aqua-to-blue graduated beads
BP-N-002,2,PXL_20260704_172023926.jpg,Necklace,Round peridot-green beaded necklace,green,,Everyday,,Green outside core palette
BP-N-003,3,PXL_20260704_172137444.jpg,Necklace,Navy and cream beaded necklace,blue/cream,,Signature,,
BP-N-004,4,PXL_20260704_172142709.jpg,Necklace,"Blue Lapis, Sodalite & Quartz necklace w/ rhinestone spacers",blue/cream,$150 ,Signature,Y,FLAGSHIP — highest tagged price
BP-N-005,5,PXL_20260704_172310778.jpg,Necklace,Long dark onyx/slate beaded necklace w/ Y-drop,black/slate,,Signature,,
BP-B-001,6,PXL_20260704_172404053.jpg,Bracelet,Cream & black beaded stretch bracelet w/ starfish,cream/black,,Signature,,Small starfish charm
BP-E-001,7,PXL_20260704_172508465.jpg,Earrings,Gold filigree tassel earrings w/ black beads,gold/black,,Everyday,,
BP-E-002,8,PXL_20260704_172608085.jpg,Earrings,Small blue gemstone gold drop earrings,blue/gold,,Signature,,
BP-N-006,9,PXL_20260704_172758354.jpg,Necklace,White opal & crystal chip double strand,white/clear,,Signature,,Variation of BP-N-007
BP-N-007,10,PXL_20260704_172828217.jpg,Necklace,White Opal & Crystal beaded necklace,white/clear,$85 ,Signature,,
BP-N-008,11,PXL_20260704_172910532.jpg,Necklace,Black bib necklace w/ rectangular tab drops,black/slate,,Signature,,Statement bib
BP-N-009,12,PXL_20260704_173114623.jpg,Necklace,White shell heishi disc necklace,white/cream,,Signature,,
BP-N-010,13,PXL_20260704_173124369.jpg,Necklace,"Shells, Howlite & Tiger's Eye necklace",cream/brown,$65 ,Signature,Y,Neutral gemstone
BP-N-011,14,PXL_20260704_173250479.jpg,Necklace,Blue & white beaded necklace,blue/white,,Signature,,
BP-N-012,15,PXL_20260704_173256479.jpg,Necklace,Pale blue crystal cube beaded necklace,blue/clear,$55 ,Signature,Y,
BP-N-013,16,PXL_20260704_173335302.jpg,Necklace,Blue & white beads w/ cowrie shells,blue/white,,Signature,,Coastal
BP-N-014,17,PXL_20260704_173432476.jpg,Necklace,Teal aurora beads w/ silver sea charms,teal/green,,Everyday,,Mermaid/shell/starfish charms
BP-N-015,18,PXL_20260704_173437199.jpg,Necklace,Teal aurora beads w/ sea charms & moonstone,teal/green,$55 ,Everyday,,Novelty sea charms
BP-N-016,19,PXL_20260704_173458486.jpg,Necklace,Delicate multicolor & gold seed-bead necklace,multicolor/gold,,Everyday,,
BP-E-003,20,PXL_20260704_173517392.jpg,Earrings,Gold wire flower earrings w/ teal stones,gold/teal,,Everyday,,
BP-B-002,21,PXL_20260704_173642163.jpg,Bracelet,White disc & gold beaded bracelet w/ charms,white/gold,,Signature,,
BP-N-017,22,PXL_20260704_173750957.jpg,Necklace,Gold chain w/ heart gemstone charms,gold/pink,,Everyday,,Assembled chain
BP-E-004,23,PXL_20260704_173831291.jpg,Earrings,Gold hoop earrings w/ black lava beads,gold/black,,Everyday,,
BP-N-018,24,PXL_20260704_174021594.jpg,Necklace,Gold chain w/ red & white disc beads,red/white/gold,,Everyday,,Assembled chain
BP-E-005,25,PXL_20260704_174101338.jpg,Earrings,Ceramic heart bead earrings (coral & gray),pink/gray,,Everyday,,
BP-E-006,26,PXL_20260704_174144008.jpg,Earrings,Red glass heart dangle earrings w/ pearl,red/pearl,,Everyday,,Heart series
BP-E-007,27,PXL_20260704_174346798.jpg,Earrings,Gold chain hoops w/ red & blue beads,red/blue/gold,,Everyday,,
BP-E-008,28,PXL_20260704_174417865.jpg,Earrings,Multicolor glass heart dangle earrings,multicolor,,Everyday,,Heart series variation
BP-E-009,29,PXL_20260704_174453599.jpg,Earrings,Green/blue/tan glass heart dangle earrings,green/blue/tan,,Everyday,,Heart series variation
